"iter","Phase.2.alpha","Phase.2.beta","Phase.1.alpha","Phase.1.beta"
11126,-555.685,-371.358,-1756.27,-1247.11
11127,-473.146,-463.516,-1717.41,-1079.32
11128,-866.156,-721.384,-1520.01,-1376.62
11129,-983.685,-715.717,-1878.78,-1326.59
11130,-920.8,-427.512,-1849.77,-1159.09
11131,-787.823,-767.183,-1671.89,-1154.88
11132,-901.774,-679.107,-1928.77,-1027.06
11133,-800.261,-693.986,-1723.58,-1067.51
11134,-948.18,-652.148,-1763.31,-979.451
11135,-952.511,-476.295,-1853.9,-1209.25
11136,-969.224,-559.186,-1808.66,-1269.37
11137,-928.732,-786.363,-1826.47,-1204.93
11138,-752.261,-401.786,-1692.19,-1206.78
11139,-947.681,-685.38,-1768.34,-1429.28
11140,-700.23,-478.892,-1722.6,-1114.96
11141,-726.343,-212.498,-1719.49,-1196.56
11142,-666.323,-512.609,-1713.35,-1283.88
11143,-658.501,-335.577,-1672.88,-1258.14
11144,-897.74,-771.953,-1677.28,-1311.48
11145,-908.934,-543.562,-1684.19,-1302.62
11146,-981.301,-643.855,-1755.99,-1187.98
11147,-1021.52,-716.625,-1837.07,-1108.18
11148,-1022.03,-601.207,-1746.86,-1293.08
11149,-967.085,-578.729,-1789.03,-1108.7
11150,-966.411,-472.289,-1637.62,-1186.96
11151,-830.374,-688.645,-1866.14,-1299.63
11152,-839.087,-634.225,-1778.53,-1214.87
11153,-751.037,-452.068,-1761.45,-1303.77
11154,-664.471,-516.23,-1869.92,-1373.41
11155,-652.077,-515.764,-1774.15,-1238.37
11156,-774.881,-367.422,-1893.04,-1188.14
11157,-676.325,-394.852,-1867.63,-1238.45
11158,-700.543,-455.371,-1921.51,-1157.81
11159,-848.256,-711.133,-1915.19,-1379.29
11160,-931.042,-688.922,-1798.27,-1238.16
11161,-639.056,-238.793,-1729.99,-1033.36
11162,-650.834,-406.501,-1909.31,-1319.61
11163,-732.358,-284.379,-1661.13,-1293.85
11164,-736.168,-656.197,-1965.08,-1373.13
11165,-628.483,-514.162,-1815.03,-1358.23
11166,-738.463,-424.003,-1947.39,-1322.35
11167,-608.242,-394.674,-1702.46,-1205.63
11168,-560.656,-350.792,-1923.88,-1124.9
11169,-886.946,-582.207,-1874.29,-1257.3
11170,-887.315,-686.65,-1813.96,-1230.7
11171,-953.193,-751.992,-1708.39,-1286.67
11172,-871.779,-731.621,-1711.82,-1229.7
11173,-873.703,-683.251,-1728.55,-1317.35
11174,-879.47,-778.101,-1850.57,-1369.15
11175,-923.606,-732.609,-1789.25,-1350.42
11176,-951.856,-664.677,-1783.26,-1366.96
11177,-1006.07,-713.046,-1744.27,-1124.45
11178,-963,-812.907,-1692.41,-1187.56
11179,-830.275,-577.016,-1779.19,-1294.89
11180,-996.645,-579.876,-1764.24,-1128.91
11181,-1028.21,-698.357,-1763.83,-1238.02
11182,-744.752,-733.861,-1680.05,-1176.24
11183,-709.811,-311.563,-1827.73,-1180.61
11184,-681.539,-418.354,-1839.41,-1220.78
11185,-707.168,-488.156,-1776.36,-1350.66
11186,-679.32,-638.903,-1694.38,-1076.18
11187,-822.524,-792.782,-1608.49,-1098.92
11188,-811.937,-652.782,-1758.21,-1175.77
11189,-1043.43,-691.674,-1773.32,-1151.38
11190,-961.557,-695.106,-1795.86,-1389.05
11191,-959.384,-501.776,-1784.95,-1378.11
11192,-809.942,-576.937,-1669.64,-1242.27
11193,-804.837,-746.709,-1954.78,-1426.32
11194,-688.988,-448.314,-1805.77,-1230.46
11195,-644.22,-385.05,-1738.08,-1251.74
11196,-712.083,-338.683,-1826.97,-1189.73
11197,-714.175,-397.936,-1843.81,-1265.4
11198,-571.846,-323.583,-1729.93,-1192.15
11199,-627.936,-408.413,-1959.33,-1273.89
11200,-518.493,-382.767,-1244.14,-1237.62
11201,-562.254,-251.572,-1766.09,-1311.19
11202,-584.226,-520.023,-1698.74,-1215.99
11203,-748.153,-343.979,-1709.29,-1305.5
11204,-667.969,-393.812,-1742.45,-1125.87
11205,-726.684,-299.09,-1709.8,-1196.49
11206,-827.756,-633.545,-1806.62,-1173.95
11207,-713.963,-364.703,-1902.55,-1284.78
11208,-683.662,-605.183,-1896.41,-1212.87
11209,-727.168,-406.621,-1913.5,-1153.59
11210,-731.944,-252.949,-1773.02,-1266.56
11211,-696.986,-262.419,-1772.54,-1236.1
11212,-692.497,-239.121,-1587.53,-1188.85
11213,-743.988,-240.161,-1879.24,-1235.34
11214,-704.342,-240.823,-1744.41,-1238.51
11215,-589.895,-256.79,-1719.44,-1260.93
11216,-958.638,-754.034,-1869.43,-1344.36
11217,-913.356,-608.924,-1866.11,-1345.54
11218,-771.185,-681.021,-1791.24,-1142.41
11219,-688.141,-321.638,-1855.02,-1194.05
11220,-555.373,-351.881,-1758.12,-1133.49
11221,-913.556,-643.382,-1627.77,-1178.41
11222,-508.714,-447.017,-1693.63,-1153.82
11223,-663.49,-608.012,-1752.2,-1399.37
11224,-614.681,-267.147,-1754.36,-1361.34
11225,-649.574,-576.988,-1763.82,-1134.25
11226,-951.143,-680.885,-1734.57,-1293.46
11227,-989.714,-640.154,-1740.05,-1171.8
11228,-935.983,-665.915,-1659.74,-1137.97
11229,-856.856,-418.793,-1716.71,-1227.58
11230,-842.002,-575.083,-1772.5,-1195.19
11231,-553.289,-477.242,-1709.65,-1280.42
11232,-861.507,-675.733,-1737.19,-1304.92
11233,-703.936,-423.308,-1741.02,-1314.68
11234,-421.895,-369.738,-1719.06,-1257.32
11235,-557.597,-524.121,-1822.33,-1227.8
11236,-485.65,-464.805,-1779.4,-1349.97
11237,-632.263,-527.893,-1876.47,-1163.23
11238,-991.889,-644.52,-1811.3,-1235.84
11239,-1108.03,-855.206,-1726.54,-1375.31
11240,-806.405,-704.974,-1931.56,-1264.27
11241,-662.032,-326.339,-1870.45,-1221.91
11242,-833.272,-662.417,-1877.33,-1087.84
11243,-895.52,-669.476,-1608.49,-1206.93
11244,-970.978,-375.559,-1718.16,-1256.44
11245,-559.908,-506.272,-1812.7,-1176.63
11246,-652.682,-411.163,-1825.52,-1248.47
11247,-732.259,-457.242,-1716.69,-1212.49
11248,-669.031,-421.982,-1805.25,-1173.11
11249,-694.502,-150.45,-1528.13,-1232.57
11250,-653.037,-129.47,-1722.21,-1380.77
11251,-520.126,-276.878,-1882.58,-1404.83
11252,-544.173,-471.305,-1835.68,-1230.44
11253,-730.024,-450.934,-1934.6,-1172.88
11254,-848.45,-644.007,-1861.71,-1320.49
11255,-807.332,-718.77,-1777.84,-1297.54
11256,-829.142,-622.386,-1810.23,-1074.15
11257,-926.024,-514.268,-1913.79,-1069.63
11258,-1004.36,-635.447,-1792.39,-1342.95
11259,-793.014,-274.296,-1786.26,-1169.54
11260,-638.231,-390.986,-1915.11,-1177.05
11261,-1011.27,-744.6,-1719.47,-1079.66
11262,-843.577,-732.95,-1951.65,-1238.85
11263,-871.074,-616.232,-1903.22,-1233.37
11264,-852.71,-503.542,-1715.35,-1225.49
11265,-971.797,-491.853,-1832.39,-1148.49
11266,-536.27,-462.879,-1934.01,-1219.75
11267,-704.796,-611.168,-1904.38,-1272.89
11268,-648.569,-525.439,-1723.7,-1222.29
11269,-780.286,-484.082,-1676.14,-1192.67
11270,-882.151,-703.17,-1796.89,-1197.3
11271,-552.032,-505.221,-1879.64,-1149.77
11272,-560.159,-374.674,-1811.73,-1260.51
11273,-600.962,-393.89,-1774.42,-1143.98
11274,-862.724,-631.759,-1912.9,-1243.61
11275,-985.607,-642.375,-1793.11,-1147.72
11276,-868.338,-733.255,-1839.12,-1367.5
11277,-804.271,-719.806,-1821.98,-1188.17
11278,-853.502,-622.063,-1923.9,-1077.87
11279,-627.381,-488.303,-1806.84,-1219.48
11280,-671.033,-467.423,-1721.69,-1227.57
11281,-681.914,-573.34,-1878.95,-1155.24
11282,-700.988,-300.896,-1910.11,-1242.61
11283,-745.071,-529.156,-1843.31,-1328.89
11284,-912.923,-698.862,-1939.73,-1264.12
11285,-908.302,-663.318,-1958.84,-1308.64
11286,-702.174,-529.807,-1934.68,-1364.38
11287,-972.541,-700.429,-1915.34,-1233.44
11288,-1162.38,-712.719,-1812.28,-1218.6
11289,-963.501,-726.693,-1748.61,-1249.79
11290,-929.259,-579.339,-1939.45,-1147.01
11291,-1045.18,-642.433,-1816.04,-1211.04
11292,-902.093,-720.42,-1743.3,-1289.49
11293,-924.463,-698.769,-1663.79,-1210.19
11294,-942.5,-687.562,-1668.45,-1220.28
11295,-750.647,-314.442,-1779.46,-1302.84
11296,-725.681,-360.264,-1894.8,-1303.86
11297,-741.81,-362.197,-1883.93,-1252.54
11298,-594.781,-587.764,-1753.03,-1201.93
11299,-524.869,-392.839,-1883.49,-1178.63
11300,-529.397,-357.18,-1842.23,-1204.59
11301,-453.99,-308.729,-1809.03,-1194.89
11302,-583.779,-389.241,-1922.15,-1194.46
11303,-788.786,-106.977,-1924.09,-1269.66
11304,-714.422,-308.732,-1853.23,-1266.41
11305,-206.699,-149.997,-1832.98,-1256.66
11306,-808.051,-379.271,-1832.56,-1245.07
11307,-749.368,-479.482,-1809.17,-1230.38
11308,-744.018,-686.556,-1782.7,-1267.75
11309,-660.876,-429.877,-1906.29,-1035.77
11310,-651.018,-516.661,-1853.27,-1178.86
11311,-895.279,-434.104,-1917.65,-1302.21
11312,-882.867,-439.785,-1876.17,-1143.37
11313,-813.835,-616.015,-1792.03,-1246
11314,-831.103,-629.18,-1697.37,-1280.93
11315,-837.381,-584.949,-1955.25,-1237.42
11316,-901.983,-639.381,-1819.61,-1270.49
11317,-1002.8,-818.671,-1814.21,-1215.18
11318,-845.485,-811.105,-1750.84,-1147.28
11319,-929.235,-711.824,-1683.01,-1282.83
11320,-810.032,-666.258,-1792.51,-1353.58
11321,-786.807,-439.262,-1788.3,-1160.04
11322,-806.871,-438.56,-1846.74,-1134.14
11323,-980.249,-502.637,-1707.04,-1359.46
11324,-996.576,-579.91,-1811.5,-1282.87
11325,-981.968,-503.172,-1897.96,-1198.89
11326,-757.737,-539.672,-1868.66,-1267.24
11327,-738.983,-606.043,-1878.88,-1217.87
11328,-845.477,-663.625,-1717.17,-1301.51
11329,-835.432,-777.501,-1685.59,-1327.18
11330,-921.041,-686.439,-1780.59,-1266.12
11331,-926.504,-686.038,-1948.08,-1246.94
11332,-869.76,-607.46,-1897.41,-1236.3
11333,-745.586,-610.598,-1868.73,-1200.46
11334,-994.87,-626.253,-1819.87,-1235.37
11335,-801.477,-706.093,-1633.3,-1399.64
11336,-1083.27,-749.942,-1792.01,-1156.16
11337,-1144.41,-723.322,-1849.01,-1235.62
11338,-911.607,-679.105,-1916.61,-1197.14
11339,-605.736,-272.451,-1826.39,-1314.09
11340,-702.149,-353.182,-1763.95,-1262.91
11341,-522,-378.629,-1734.7,-1123.75
11342,-552.394,-376.838,-1705.91,-1144.26
11343,-451.06,-343.404,-1808.59,-1315.31
11344,-445.502,-380.103,-1792.76,-1251.08
11345,-770.665,-691.38,-1773.68,-1193.17
11346,-1038.84,-664.552,-1734.17,-1187.31
11347,-935.654,-774.049,-1770.56,-1167.71
11348,-961.391,-688.319,-1798.26,-1259.93
11349,-822.77,-445.786,-1763.14,-1183.82
11350,-940.285,-557.308,-1823.11,-1192.2
11351,-977.404,-744.948,-1912.19,-1127.19
11352,-1094.76,-731.163,-1711.94,-1293.04
11353,-899.845,-728.119,-1637.19,-1227.71
11354,-814.784,-731.929,-1663.86,-1177.34
11355,-856.7,-648.966,-1606.89,-1274.45
11356,-719.817,-613.998,-1624.71,-1409.47
11357,-811.092,-467.501,-1891.36,-1164.53
11358,-835.355,-427.174,-1812.41,-1413.37
11359,-880.088,-481.668,-1771.82,-1146.17
11360,-927.433,-514.825,-1944.87,-1205.93
11361,-872.979,-728.296,-1949.3,-1329.45
11362,-757.742,-655.458,-1926.9,-1257.32
11363,-700.712,-690.72,-1989,-1165.13
11364,-684.296,-501.722,-1795.94,-1309.41
11365,-654.263,-467.881,-1770.92,-1191.85
11366,-687.13,-258.127,-1755.56,-1191.91
11367,-788.738,-736.607,-1979.81,-1193.82
11368,-827.293,-631.283,-1648.62,-1199.72
11369,-886.887,-480.909,-1710.61,-1243.92
11370,-887.13,-759.57,-1915.87,-1273.75
11371,-756.123,-633.725,-1647.47,-1163.02
11372,-1021.95,-642.91,-1644.15,-1320.43
11373,-966.658,-525.447,-1762.71,-1328.82
11374,-889.146,-622.428,-1619.04,-1174.82
11375,-908.861,-716.634,-1602.26,-1052.11
11376,-1046.09,-708.074,-1539.51,-1102.27
11377,-979.479,-731.227,-1753.22,-1268.47
11378,-788.818,-694.351,-1666.54,-1191.77
11379,-943.882,-699.338,-1900.01,-1148.93
11380,-1115.79,-735.677,-1774.25,-1240.27
11381,-1005.7,-798.143,-1926.66,-1271.15
11382,-530.842,-516.579,-1891.51,-1318.31
11383,-952.266,-484.47,-1817.05,-1200.25
11384,-975.818,-620.854,-1839.43,-1286.69
11385,-956.626,-565.022,-1786.17,-1196.19
11386,-653.897,-491.949,-1901.48,-1212.26
11387,-891.62,-655.753,-1823.54,-1265.91
11388,-900.357,-635.929,-1898.92,-1246.36
11389,-629.026,-364.841,-1983.7,-1304.4
11390,-697.087,-425.558,-1860.87,-1263.65
11391,-536.852,-326.64,-1733.73,-1296.87
11392,-502.021,-154.143,-1852.57,-1208.74
11393,-682.224,-349.394,-1899.76,-1196.67
11394,-700.965,-452.953,-1793.46,-1251.69
11395,-712.877,-510.22,-1654.19,-1214.46
11396,-715.932,-347.891,-1696.37,-1169.46
11397,-734.127,-352.629,-1880.27,-1135.89
11398,-706.183,-668.423,-1904.87,-1033.46
11399,-672.309,-274.351,-1893.86,-1330.48
11400,-637.601,-479.734,-1631.88,-1197.33
11401,-952.624,-612.71,-1751.32,-1272.5
11402,-959.745,-697.075,-1876.36,-1352.84
11403,-900.026,-704.408,-1649.94,-1414.78
11404,-888.868,-643.443,-1938.26,-1167.09
11405,-892.795,-677.585,-1784.06,-1436.53
11406,-967.025,-556.26,-1697.5,-1446.33
11407,-1106.51,-696.132,-1669.97,-1190.53
11408,-802.594,-447.972,-1859.47,-1230.68
11409,-685.062,-621.08,-1641.17,-1207.32
11410,-909.719,-722.618,-1681.16,-1184.66
11411,-926.931,-771.825,-1809.66,-1164.49
11412,-896.975,-631.27,-1817.08,-1197.59
11413,-804.446,-705.037,-1624.24,-1366.52
11414,-841.252,-776.233,-1648.88,-1280.7
11415,-1049.52,-744.792,-1726.14,-1237.97
11416,-900.569,-638.253,-1631.77,-1125.76
11417,-761.571,-576.672,-1735.97,-1259.77
11418,-1028.15,-739.919,-1889.29,-1175.11
11419,-1060.8,-610.707,-1786.11,-1404.06
11420,-861.214,-645.179,-1758.37,-1275.09
11421,-940.728,-531.943,-1650.65,-1324.05
11422,-796.544,-508.2,-1899.81,-1360.1
11423,-824.546,-727.709,-1777.57,-1267.27
11424,-810.111,-688.294,-1947.4,-1195.09
11425,-908.091,-526.935,-1824.19,-1162.49
11426,-784.733,-724.436,-1903.57,-1188.69
11427,-798.617,-660.183,-1827.07,-1257.78
11428,-648.386,-561.413,-1851.02,-1283.7
11429,-862.197,-757.611,-1780.6,-1363.61
11430,-747.846,-440.374,-1676.65,-1166.68
11431,-640.952,-420.916,-1695.72,-1027.61
11432,-569.859,-481.389,-1962.14,-1165.8
11433,-647.928,-558.556,-1744.22,-1293.62
11434,-900.119,-895.349,-1864.72,-1282.41
11435,-892.932,-718.766,-1832.56,-1140.64
11436,-902.33,-670.43,-1724.71,-1380.94
11437,-869.217,-771.658,-1578.66,-1238.84
11438,-914.655,-687.943,-1647.48,-1222.03
11439,-951.79,-423.089,-1703.7,-1270.83
11440,-853.058,-569.239,-1893.01,-1126.05
11441,-821.303,-508.817,-1782.25,-1233.29
11442,-951.647,-489.714,-1930.12,-1102.25
11443,-642.846,-578.041,-1801.83,-1312.74
11444,-630.661,-588.796,-1889.76,-1338.04
11445,-654.778,-414.928,-1839.33,-1136.85
11446,-624.998,-473.609,-1776.24,-1164.82
11447,-657.734,-342.223,-1655.24,-1225.44
11448,-616.915,-241.417,-1975,-1192.62
11449,-701.952,-352.359,-1900.21,-1371.36
11450,-743.597,-615.387,-1883.07,-1232.31
11451,-894.874,-771.956,-1925.56,-1262.49
11452,-906.437,-783.464,-1649.62,-1127.61
11453,-713.98,-374.386,-1745.45,-1227.24
11454,-815.48,-671.938,-1848.19,-1272.96
11455,-606.352,-347.492,-1840.69,-1240.7
11456,-489.18,-290.997,-1774.89,-1086.84
11457,-512.494,-379.798,-1745.01,-1220.78
11458,-516.328,-444.303,-1840.62,-1217.34
11459,-732.909,-601.26,-1907.2,-1113.44
11460,-599.057,-307.75,-1689.13,-1188.28
11461,-626.481,-347.64,-1698.97,-1288.85
11462,-599.3,-284.521,-1669.74,-1184.94
11463,-753.722,-451.999,-1797.25,-1247.37
11464,-736.084,-410.527,-1829.58,-1388.17
11465,-548.306,-410.383,-1977.78,-1043.43
11466,-641.557,-412.255,-1988.13,-1177.49
11467,-743.054,-303.769,-1797.5,-1177.68
11468,-586.465,-278.753,-1874.6,-1167.62
11469,-720.135,-438.551,-1744.84,-1351.96
11470,-683.565,-404.698,-1920.24,-1258.63
11471,-755.819,-718.597,-1866.35,-1094.06
11472,-896.096,-711.71,-1737.09,-1211.48
11473,-640.994,-615.655,-1807.85,-1211.22
11474,-684.555,-388.532,-1824.43,-1198.48
11475,-668.071,-467.724,-1771.25,-1242.2
11476,-602.632,-372.86,-1864.61,-1439.83
11477,-724.063,-402.066,-1822.1,-1214.34
11478,-463.159,-418.714,-1910.92,-1354.28
11479,-518.705,-327.659,-1907.68,-1264.07
11480,-526.082,-308.68,-1840.56,-1270.08
11481,-467.926,-339.925,-1795.3,-1252.51
11482,-790.147,-286.703,-1711.88,-1222.64
11483,-759.164,-481.313,-1775.17,-1168.61
11484,-616.717,-330.168,-1846.96,-1269.95
11485,-689.105,-525.425,-1634.18,-1416.53
11486,-738.884,-462.726,-1820.31,-1425.42
11487,-847.915,-673.892,-1601.99,-1268.99
11488,-867.736,-643.6,-1774.27,-1219.85
11489,-941.128,-822.463,-1757.4,-1307.31
11490,-1011.59,-530.505,-1742.05,-1183.67
11491,-655.914,-358.398,-1812.48,-1029.51
11492,-693.923,-305.589,-1897.31,-1209.17
11493,-721.44,-230.561,-1814.28,-1216.18
11494,-734.071,-547.223,-1867.76,-1157.96
11495,-1073.37,-466.223,-1790.01,-1141.11
11496,-880.341,-582.633,-1737.61,-1270.27
11497,-815.769,-698.708,-1817.06,-1266.19
11498,-1034.56,-643.289,-1876.11,-1204.86
11499,-492.412,-453.672,-1858.83,-1297.87
11500,-605.127,-357.44,-1929.44,-1122.67
11501,-535.92,-389.722,-1862.38,-1262.7
11502,-569.271,-406.555,-1601.83,-1274.61
11503,-536.811,-478.397,-1837.75,-1367.4
11504,-488.535,-463.383,-1783.62,-1141.86
11505,-641.941,-307.337,-1894.58,-1187.2
11506,-687.318,-363.495,-1642.03,-1107.29
11507,-727.331,-376.09,-1770.96,-1264.05
11508,-687.143,-398.543,-1949.99,-1302.81
11509,-854.579,-674.744,-1911.4,-1308.76
11510,-898.655,-598.992,-1907.24,-1144.55
11511,-893.411,-677.114,-1856.36,-1330.37
11512,-927.525,-759.116,-1807.86,-1127.88
11513,-688.489,-670.367,-1579.25,-1160.3
11514,-1039.26,-803.324,-1879.38,-1045.76
11515,-877.149,-690.249,-1908.57,-1262.87
11516,-868.757,-721.578,-1646.1,-1207.66
11517,-748.259,-593.064,-1971.86,-1180.35
11518,-661.756,-550.067,-1775.43,-1164.85
11519,-857.219,-685.289,-1902.87,-1360.89
11520,-646.424,-413.888,-1842.06,-1348.17
11521,-725.796,-300.397,-1768.65,-1281.04
11522,-765.744,-339.101,-1963.82,-1443.37
11523,-729.734,-208.589,-1609.92,-1185.94
11524,-630.303,-412.699,-1755.86,-1163.14
11525,-657.011,-249.761,-1778.17,-1236.64
11526,-705.307,-486.869,-1720.29,-1313.63
11527,-652.261,-423.078,-1777.07,-1230.54
11528,-559.61,-267.121,-1912.92,-1245.34
11529,-721.102,-289.718,-1895.39,-1194.74
11530,-658.419,-515.761,-1946.85,-1236.11
11531,-911.842,-513.735,-1699.92,-1066.59
11532,-554.097,-500.87,-1703.36,-1235.58
11533,-436.585,-294.984,-1705.38,-1133.1
11534,-656.815,-364.963,-1759.52,-1273.83
11535,-642.981,-344.654,-1763.32,-1317.15
11536,-565.802,-347.511,-1805.91,-1300.64
11537,-733.951,-405.086,-1843.3,-1163.86
11538,-701.935,-359.289,-1851.95,-1183.01
11539,-683.821,-307.856,-1658.15,-1347.35
11540,-684.229,-307.812,-1970.51,-1247.73
11541,-699.693,-180.053,-1668.48,-1325.79
11542,-773.891,-367.865,-1845.64,-1121.49
11543,-688.933,-600.089,-1760.06,-1320.69
11544,-776.208,-474.545,-1853.08,-1309.52
