"iter","Phase.2.alpha","Phase.2.beta","Phase.1.alpha","Phase.1.beta"
17213,-780.441,-778.653,-1927,-1242.82
17214,-962.849,-689.04,-1875.77,-1337.76
17215,-775.124,-555.616,-1795.78,-1085.28
17216,-1044.44,-513.231,-1704.89,-1287.23
17217,-873.88,-631.998,-1888.15,-1242.2
17218,-791.133,-558.789,-1624.87,-1231.64
17219,-761.143,-705.858,-1730.64,-1196.74
17220,-942.942,-663.732,-1886.97,-1129.05
17221,-1020.91,-554.779,-1952.11,-1241.3
17222,-1076.66,-553.554,-1923.91,-1168.02
17223,-828.514,-580.638,-1863.84,-1136.8
17224,-812.019,-722.077,-1937.68,-1237.93
17225,-717.402,-286.883,-1957.36,-1158.52
17226,-756.146,-521.106,-1855.63,-1316.38
17227,-565.836,-445.939,-1534.66,-1314.68
17228,-734.138,-348.484,-1717.49,-1226.24
17229,-655.3,-419.031,-1746.55,-1096.34
17230,-772.293,-336.487,-1701.23,-1343.13
17231,-743.746,-361.815,-1700.43,-1347.98
17232,-678.423,-281.364,-1831.21,-1331.05
17233,-691.155,-405.847,-1832.95,-1199.18
17234,-570.814,-264.021,-1820.43,-1256.28
17235,-606.96,-252.042,-1838.71,-1264.43
17236,-562.366,-137.636,-1533.86,-1292.68
17237,-669.734,-221.311,-1892.17,-1287.82
17238,-676.501,-255.941,-1936.3,-1187.17
17239,-689.359,-245.151,-1677.27,-1216.8
17240,-704.194,-374.042,-1949.33,-1164.36
17241,-689.187,-347.292,-1871.83,-1183.62
17242,-735.431,-443.088,-1821.62,-1276.59
17243,-651.203,-340.015,-1847.63,-1297.75
17244,-679.616,-298.444,-1849.51,-1208.48
17245,-752.944,-305.702,-1836.4,-1261.67
17246,-771.834,-320.351,-1822.67,-1096.05
17247,-719.999,-315.311,-1656.74,-1190.86
17248,-686.136,-340.534,-1635.17,-1231.41
17249,-717.892,-365.542,-1678.09,-1296.16
17250,-722.702,-269.451,-1752.6,-1124.78
17251,-745.788,-662.306,-1936.26,-1298.6
17252,-925.777,-710.37,-1916.68,-1245.22
17253,-1101.12,-726.784,-1930.83,-1174.15
17254,-873.147,-731.989,-1670.87,-1180.76
17255,-938.071,-687.138,-1821.02,-1138.11
17256,-767.994,-667.259,-1897.45,-1130.92
17257,-732.316,-487.645,-1933.96,-1122.84
17258,-729.149,-358.438,-1765.58,-1219.52
17259,-698.869,-500.463,-1741.13,-1282.87
17260,-710.02,-686.286,-1669.24,-1245.72
17261,-909.589,-725.566,-1806.68,-1113.87
17262,-1012.8,-716.489,-1807.19,-1158.26
17263,-891.618,-771.239,-1547.61,-1245.99
17264,-916.47,-666.133,-1886.73,-1212.09
17265,-869.749,-637.363,-1703.89,-1244.73
17266,-851.829,-686.781,-1872.79,-1246.22
17267,-898.083,-774.752,-1912.54,-1191.16
17268,-877.077,-388.618,-1731.14,-1306.63
17269,-827.594,-728.647,-1771.09,-1285.35
17270,-921.413,-665.377,-1678.7,-1330.94
17271,-828.617,-632.806,-1786.22,-1225.13
17272,-786.733,-568.553,-1597.04,-1025.87
17273,-732.574,-623.729,-1709.15,-1329.21
17274,-712.256,-647.205,-1890.54,-1363.98
17275,-894.473,-758.969,-1894.14,-1356.3
17276,-647.45,-291.251,-1798.73,-1300.75
17277,-496,-236.951,-1701.56,-1267.58
17278,-690.832,-202.704,-1832,-1234.75
17279,-584.528,-289.176,-1916.02,-1335.87
17280,-562.077,-546.685,-1905.69,-1251.07
17281,-613.573,-422.635,-1853.87,-1334.2
17282,-642.454,-605.887,-1800.51,-1253.63
17283,-960.376,-733.327,-1878.39,-1277.14
17284,-990.506,-735.079,-1856.94,-1307.79
17285,-974.746,-468.294,-1659.85,-1089.55
17286,-888.566,-618.688,-1811.58,-1151.31
17287,-764.393,-516.772,-1822.77,-1250.34
17288,-577.345,-399.26,-1781.5,-1377.26
17289,-559.13,-363.026,-1918.01,-1184.99
17290,-513.888,-419.612,-1805.45,-1261.87
17291,-891.581,-580.858,-1674.19,-1155.75
17292,-899.177,-628.876,-1722.24,-1309.97
17293,-625.884,-573.608,-1850.5,-1458.81
17294,-667.145,-238.528,-1773.92,-1311.78
17295,-856.345,-685.68,-1738.02,-1312.21
17296,-957.007,-485.603,-1781.34,-1197.79
17297,-1131.85,-644.031,-1680.26,-1259.87
17298,-715.493,-653.932,-1689.62,-1309.04
17299,-777.863,-522.942,-1868.01,-1187.52
17300,-985.14,-662.516,-1891.89,-1330.89
17301,-950.173,-628.275,-1877.42,-1268.49
17302,-984.619,-770.775,-1886.77,-1205.36
17303,-1049.97,-672.52,-1888.97,-1282.42
17304,-827.791,-661.548,-1781.69,-1188.89
17305,-754.372,-701.574,-1937.5,-1173.36
17306,-953.959,-740.309,-1898.46,-1203.38
17307,-694.078,-487.568,-1838.4,-1399.99
17308,-1092.13,-687.884,-1646.39,-1281.43
17309,-912.732,-669.903,-1908.33,-1094.17
17310,-733.547,-238.74,-1890.52,-1322.44
17311,-693.416,-476.226,-1742.62,-1272.25
17312,-740.377,-533.999,-1718.57,-1018.86
17313,-728.244,-386.867,-1678.62,-1337.95
17314,-700.789,-377.201,-1707.06,-1320.27
17315,-671.892,-503.63,-1747.82,-1340.83
17316,-779.615,-694.926,-1844.03,-1239.09
17317,-865.609,-228.561,-1516.43,-1234.98
17318,-491.179,-357.251,-1820.02,-1151.21
17319,-766.715,-675.75,-1852.23,-1230.91
17320,-533.796,-396.173,-1776.82,-1156.46
17321,-684.839,-203.354,-1798.31,-1198.71
17322,-530.74,-373.637,-1845.88,-1119.27
17323,-486.798,-460.173,-1961.48,-1161.42
17324,-658.692,-398.355,-1688.77,-1138.83
17325,-705.931,-551.871,-1733.57,-1186.3
17326,-708.145,-279.451,-1830,-1297.35
17327,-873.709,-529.427,-1808.79,-1294.95
17328,-564.379,-474.175,-1663.87,-1205.14
17329,-599.83,-473.382,-1770.97,-1289.68
17330,-649.479,-206.602,-1705.72,-1274.32
17331,-841.714,-677.171,-1723.88,-1264.84
17332,-516.664,-259.629,-1697.05,-1222.59
17333,-903.248,-688.537,-1681.43,-1361.71
17334,-903.904,-752.738,-1961.24,-1315.44
17335,-955.743,-675.606,-1850.05,-1282.23
17336,-1111.31,-705.578,-1886.59,-1249.92
17337,-899.586,-609.59,-1898.91,-1278.9
17338,-700.346,-505.448,-1909.33,-1002.58
17339,-633.038,-354.318,-1668.46,-1027.66
17340,-638.428,-301.769,-1855.78,-1301.8
17341,-754.031,-290.003,-1756.62,-1305.58
17342,-475.726,-245.248,-1836.14,-1201.5
17343,-610.092,-462.001,-1924.03,-1241.99
17344,-489.385,-390.604,-1697.98,-1236.78
17345,-973.165,-427.509,-1735.83,-1199.2
17346,-727.09,-713.005,-1761.32,-1225.88
17347,-772.864,-709.71,-1485.67,-1234.28
17348,-914.458,-770.468,-1549.1,-1222.64
17349,-899.585,-750.668,-1889.18,-1358.5
17350,-779.316,-678.205,-1889.4,-1233.16
17351,-1070.33,-436.259,-1872.09,-1275.04
17352,-970.696,-611.467,-1758.71,-1362.32
17353,-869.733,-682.223,-1870.14,-1327.1
17354,-876.355,-702.675,-1962.73,-1218.67
17355,-821.178,-534.998,-1843.92,-1175.98
17356,-708.747,-269.009,-1881.89,-1315.39
17357,-1017.57,-644.316,-1821.15,-1220.32
17358,-820.523,-700.233,-1852,-1497.91
17359,-626.144,-603.699,-1954.98,-1338.5
17360,-761.415,-699.932,-1716.76,-1322.27
17361,-972.093,-669.592,-1763.09,-1347.75
17362,-795.023,-670.414,-1770.35,-1240.82
17363,-839.594,-680.155,-1765.49,-1210.84
17364,-764.184,-675.904,-1744.78,-1181.68
17365,-897.529,-651.384,-1654.73,-1349.17
17366,-711.564,-153.765,-1776.78,-1267.02
17367,-773.007,-42.2558,-1785.09,-1189.39
17368,-764.107,-530.873,-1769.58,-1143.89
17369,-623.886,-483.337,-1754.4,-1146.74
17370,-778.637,-315.727,-1722.06,-1128.53
17371,-679.714,-538.618,-1592.93,-1254.19
17372,-941.271,-598.752,-1736.55,-1216.78
17373,-1092.59,-637.439,-1967.64,-1151.12
17374,-743.61,-317.028,-1897,-1276.6
17375,-720.836,-303.551,-1882.66,-1062.63
17376,-636.102,-564.409,-1981.38,-1177.46
17377,-596.778,-484.839,-1828.98,-1292.83
17378,-626.964,-252.071,-1727.09,-1246.67
17379,-642.161,-347.098,-1746.23,-1305.82
17380,-564.228,-259.068,-1733.09,-1232.16
17381,-631.261,-381.53,-1814.34,-1237.11
17382,-755.081,-275.757,-1713.57,-1336.5
17383,-735.76,-453.363,-1822.05,-1172.48
17384,-609.188,-126.999,-1815.92,-1156.54
17385,-965.771,-619.005,-1725.99,-1297.96
17386,-953.397,-670.924,-1735.78,-1202.98
17387,-894.901,-735.146,-1729.79,-1207.84
17388,-669.728,-647.537,-1697.79,-1365.56
17389,-985.132,-659.995,-1904.36,-1366.19
17390,-811.567,-453.735,-1643.51,-1233.55
17391,-723.668,-350.647,-1748.88,-1257.03
17392,-592.667,-197.139,-1626.31,-1239.13
17393,-727.609,-257.869,-1883.27,-1257.88
17394,-637.564,-182.37,-1671.71,-1347.01
17395,-479.816,-248.408,-1813.33,-1504.32
17396,-669.48,-604.792,-1709.97,-1208.48
17397,-774.486,-510.083,-1762.2,-1309.59
17398,-755.465,-533.771,-1712.6,-1233.92
17399,-654.912,-451.736,-1802.95,-1222.82
17400,-983.283,-636.375,-1717.94,-1213.04
17401,-749.044,-256.191,-1873.65,-1182.42
17402,-647.887,-353.979,-1863.71,-1252.14
17403,-648.444,-348.145,-1999.86,-1367.49
17404,-706.802,-510.325,-1804.17,-1354.43
17405,-600.514,-371.194,-1786.62,-1289.22
17406,-661.731,-510.418,-1980.21,-1210.36
17407,-708.233,-485.487,-1768.18,-1137.56
17408,-747.994,-507.779,-1831.75,-1360.2
17409,-570.759,-373.422,-1736.73,-1226.66
17410,-822.064,-711.5,-1794.38,-1240.59
17411,-766.941,-610.807,-1862.92,-1217.29
17412,-944.149,-606.419,-1737.14,-1154.51
17413,-922.213,-618.602,-1839.05,-1289.48
17414,-950.92,-643.085,-1697.57,-1287.54
17415,-937.694,-739.672,-1924.58,-1229.6
17416,-1003.02,-744.447,-1719.63,-1064.44
17417,-841.806,-598.216,-1592.02,-1163.86
17418,-892.935,-639.703,-1834.06,-1223.96
17419,-736.505,-489.851,-1867.82,-1188.79
17420,-664.402,-442.344,-1897.8,-1211.86
17421,-663.634,-356.518,-1929.98,-1287.13
17422,-966.242,-747.164,-1814.31,-1206.72
17423,-1028.59,-703.718,-1871.69,-1219.41
17424,-1005.75,-704.365,-1870.27,-1219.15
17425,-825.351,-711.423,-1782.97,-1312.85
17426,-980.946,-694.451,-1910.49,-1123.84
17427,-906.129,-718.953,-1904.98,-1186.13
17428,-896.665,-492.829,-1786.65,-1258.44
17429,-1108.34,-641.098,-1904.86,-1278.4
17430,-985.344,-734.079,-1822,-1401.61
17431,-861.633,-652.034,-1688.96,-1252.97
17432,-739.809,-697.158,-1559.05,-1238.71
17433,-981.987,-569.727,-1741.51,-1300.73
17434,-935.788,-475.314,-1747.32,-1309.92
17435,-835.196,-600.333,-1659.94,-1256.81
17436,-864.544,-577.614,-1697.88,-1204.01
17437,-891.181,-408.224,-1672.33,-1220.97
17438,-660.654,-633.277,-1753.3,-1230.91
17439,-799.455,-655.044,-1741.38,-1109.88
17440,-1106.62,-585.449,-1739.25,-1267.91
17441,-1000.28,-608.287,-1815.32,-1234.64
17442,-756.182,-606.701,-1903.24,-1185.62
17443,-699.134,-694.774,-1852.21,-1097.05
17444,-827.818,-736.113,-1776.31,-1383.45
17445,-746.824,-724.795,-1803.05,-1201.2
17446,-729.225,-641.934,-1780.63,-1263.74
17447,-972.124,-601.913,-1870.49,-1229.44
17448,-504.559,-490.237,-1943,-1263.76
17449,-621.986,-236.77,-1865.74,-1359.93
17450,-586.228,-576.464,-1922.51,-1190.48
17451,-484.27,-391.861,-1903.39,-1173.41
17452,-389.319,-382.814,-1830.95,-1236.55
17453,-1077.27,-302.291,-1807.01,-1290.79
17454,-598.013,-555.591,-1855.13,-1186.59
17455,-860.128,-695.634,-1833.75,-1268.49
17456,-954.905,-625.287,-1796.12,-1101.13
17457,-934.397,-739.664,-1826.5,-1270.79
17458,-951.21,-716.202,-1785.41,-1216.52
17459,-882.371,-779.032,-1630.69,-1241.83
17460,-766.515,-714.092,-1776.99,-1365.63
17461,-728.13,-454.154,-1870.52,-1369.66
17462,-720.632,-353.432,-1794.44,-1446.16
17463,-617.541,-379.097,-1742.1,-1224.16
17464,-595.387,-445.843,-1820.83,-1186.58
17465,-957.23,-633.864,-1912.54,-1269.24
17466,-744.209,-231.585,-1853.68,-1228.91
17467,-669.575,-391.879,-1980.43,-1233.76
17468,-733.631,-441.423,-1754.3,-1114.2
17469,-786.474,-293.512,-1839.85,-1324.91
17470,-1280.66,-445.64,-1916.13,-1331.93
17471,-804.236,-462.932,-1962.8,-1153.45
17472,-906.758,-604.377,-1857.52,-1348.78
17473,-984.148,-697.493,-1719.87,-1108.06
17474,-870.786,-631.1,-1740.54,-1150.73
17475,-792.889,-614.144,-1688.45,-1233.83
17476,-878.482,-519.492,-1812.86,-1241.24
17477,-699.991,-537.317,-1795.22,-1127.4
17478,-663.454,-620.579,-1859.71,-1125.45
17479,-935.671,-634.557,-1784.35,-1196.5
17480,-843.986,-644.943,-1875.88,-1265.31
17481,-879.337,-760.314,-1825.5,-1131.54
17482,-968.398,-724.177,-1731.11,-1237.23
17483,-822.184,-707.902,-1622.51,-1139.77
17484,-889.526,-664.342,-1908.28,-1126.86
17485,-884.65,-678.141,-1871.4,-1286.7
17486,-663.65,-491.48,-1641.54,-1299.95
17487,-759.176,-613.116,-1760.25,-1317.7
17488,-802.656,-724.761,-1729.57,-1237.94
17489,-816.459,-712.136,-1710.19,-1218.39
17490,-560.386,-546.022,-1827.06,-1064.42
17491,-614.914,-324.357,-1611.71,-1357.86
17492,-681.472,-566.53,-1823.08,-1175.87
17493,-682.486,-410.908,-1835.19,-1123.29
17494,-686.919,-400.512,-1943.15,-1220.85
17495,-882.405,-686.086,-1863.7,-1291.67
17496,-723.812,-589.15,-1777.96,-1244.81
17497,-763.998,-744.903,-1768.81,-1231.31
17498,-1038.94,-747.13,-1780.4,-1241.5
17499,-948.757,-692.025,-1694.12,-1116.96
17500,-728.772,-679.732,-1727.03,-1171.23
17501,-718.039,-386.512,-1810.8,-1158.99
17502,-675.463,-263.195,-1836.36,-1372.15
17503,-523.37,-342.927,-1821.43,-1341.32
17504,-595.092,-329.828,-1896.24,-1225.84
17505,-620.563,-296.984,-1814.16,-1172.27
17506,-720.364,-409.34,-1770.12,-1234.21
17507,-741.86,-571.555,-1721.59,-1283.4
17508,-798.624,-697.147,-1671.38,-1287.62
17509,-1069.66,-619.239,-1752.42,-1307.29
17510,-1049.64,-605.337,-1757.8,-1354.71
17511,-866.621,-566.729,-1739.68,-1257.09
17512,-1030.58,-586.325,-1801.5,-1204.13
17513,-865.11,-690.915,-1879.48,-1323.69
17514,-856.246,-673.783,-1673.52,-1132.33
17515,-663.075,-500.713,-1709.42,-1193.13
17516,-752.118,-380.295,-1695.54,-1277.72
17517,-694.3,-295.721,-1875.69,-1208.33
17518,-767.569,-435.636,-1865.22,-1238.41
17519,-1011.6,-707.933,-1865.2,-1332.72
17520,-819.927,-799.919,-1851.48,-1254.91
17521,-851.041,-724.649,-1716.65,-1198.52
17522,-741.986,-596.896,-1707.1,-1233.84
17523,-887.062,-620.351,-1680.33,-1316.11
17524,-878.318,-666.553,-1757.77,-1078.14
17525,-796.59,-628.692,-1731.55,-1298.59
17526,-843.842,-524.443,-1745.92,-1228.39
17527,-793.826,-548.148,-1685.22,-1168.56
17528,-842.273,-509.687,-1787.81,-1157.18
17529,-713.376,-427.259,-1818.16,-1255.29
17530,-710.447,-346.916,-1949.8,-1175.73
17531,-755.075,-438.974,-1944.1,-1328.05
17532,-833.845,-423.954,-1951.37,-1263.7
17533,-745.782,-417.581,-1736.26,-1236.75
17534,-728.648,-578.281,-1807.24,-956.192
17535,-696.245,-386.049,-1929.65,-1168.92
17536,-650.915,-427.377,-1790.9,-1245.75
17537,-573.683,-409.03,-1883.56,-1275.9
17538,-465.593,-236.391,-1843.13,-1149.74
17539,-692.071,-367.644,-1698.67,-1257.76
17540,-721.724,-287.895,-1740.81,-1306.81
17541,-517.38,-376.542,-1692.24,-1235.24
17542,-560.973,-408.688,-1900.17,-1224.24
17543,-574.064,-308.824,-1770.38,-1293.08
17544,-698.623,-328.21,-1883.49,-1118.73
17545,-731.01,-569.723,-1987.47,-1223.59
17546,-684.062,-235.021,-1732.46,-1190.41
17547,-656.996,-430.194,-1818.48,-1175.71
17548,-698.824,-478.853,-1709.15,-1299.37
17549,-627.005,-277.946,-1771.66,-1238.26
17550,-700.277,-442.11,-1992.16,-1318.52
17551,-655.396,-523.099,-1900.88,-1302.06
17552,-615.925,-417.746,-1799.57,-1185.38
17553,-581.088,-261.176,-1716.32,-1190.74
17554,-584.838,-314.085,-1694.75,-1209.31
17555,-625.05,-167.443,-1603.84,-1298.96
17556,-614.547,-466.663,-1609.95,-1069.73
17557,-535.701,-469.863,-1795.97,-1316.98
17558,-332.094,-288.328,-1747.51,-1273.38
17559,-595.792,-221.975,-1928.52,-1231.66
17560,-607.677,-352.145,-1733.18,-1205.44
17561,-700.001,-442.199,-1741.98,-1197.39
17562,-723.504,-419.822,-1662.21,-1227.09
17563,-758.577,-730.423,-1720.37,-1242.59
17564,-770.873,-474.354,-1644,-1266.68
17565,-743.387,-449.202,-1682.91,-1449.49
17566,-845.863,-746.738,-1788.29,-1215.23
17567,-854.982,-616.35,-1827.31,-1180.13
17568,-787.947,-643.996,-1920.14,-1327.84
17569,-578.142,-297.328,-1808.69,-1408.94
17570,-690.683,-243.309,-1835.55,-1080.75
17571,-478.333,-372.445,-1777.37,-1112.95
17572,-862.808,-780.788,-1768.03,-1281.12
17573,-833.498,-654.987,-1745.46,-1283.27
17574,-1006.92,-654.763,-1443.9,-1157.97
17575,-923.811,-661.729,-1767.62,-1179.79
17576,-1012.8,-652.731,-1714.52,-1388.1
17577,-932.616,-706.459,-1595.93,-1234.75
17578,-932.944,-701.524,-1573.56,-1247.87
17579,-819.619,-563.495,-1629.41,-1294.68
17580,-1032.25,-605.368,-1832.29,-1369.99
17581,-1091.39,-702.403,-1850.62,-1272.97
17582,-1003.17,-711.554,-1769.79,-1208.52
17583,-1036.67,-614.518,-1734.72,-1298.31
17584,-967.426,-620.976,-1739.9,-1249.08
17585,-966.87,-716.366,-1736.22,-1203.32
17586,-776.275,-630.655,-1663.87,-1244.61
17587,-1030.65,-559.404,-1694.63,-1277.02
17588,-962.226,-523.043,-1756.92,-1320.99
17589,-525.294,-469.433,-1675.37,-1292.56
17590,-559.9,-495.423,-1820.46,-1350.65
17591,-552.54,-400.774,-1871.94,-1341.27
17592,-884.522,-586.891,-1842.58,-1262.67
17593,-742.109,-639.264,-1656.48,-1152.4
17594,-493.64,-286.679,-1771.21,-1155.62
17595,-813.479,-380.033,-1846.79,-1202.4
17596,-918.684,-657.07,-1884.16,-1188.69
17597,-898.185,-677.345,-1968.96,-1181.92
17598,-958.978,-764.246,-1836.98,-1378.93
17599,-914.373,-670.642,-1871.82,-1272.15
17600,-854.632,-593.729,-1826.6,-1279.41
17601,-597.597,-593.013,-1911.71,-1267.01
17602,-436.605,-413.521,-1936,-1031.96
17603,-726.904,-528.439,-1795.31,-1324.14
17604,-810.81,-630.369,-1576,-1343.51
17605,-706.111,-365.383,-1785.14,-1224.68
17606,-428.322,-269.344,-1905,-1112.46
17607,-585.585,-487.27,-1744.56,-1244.63
17608,-884.785,-700.517,-1784.54,-1269.76
17609,-1102.88,-555.254,-1755.98,-1263.02
17610,-851.758,-578.908,-1658.29,-1263.03
17611,-806.257,-694.744,-1826.95,-1336.94
17612,-831.608,-760.647,-1885.41,-1267.25
17613,-891.399,-692.646,-1919.4,-1023.21
17614,-935.636,-615.807,-1859.49,-1213.65
17615,-976.634,-705.938,-1847.89,-1156.44
17616,-827.078,-692.353,-1894.99,-1127.86
17617,-637.195,-397.676,-1691.84,-1059.22
17618,-636.556,-410.596,-1809.82,-1206.19
17619,-671.794,-398.761,-1822.68,-1090.78
17620,-564.383,-397.234,-1632.48,-1196.61
17621,-698.214,-235.744,-1701.2,-1256.6
17622,-686.462,-282.04,-1707.17,-939.517
17623,-701.176,-379.042,-1764.35,-1157.88
17624,-722.703,-406.265,-1820.12,-1217.01
17625,-740.471,-331.286,-1813.58,-1276.57
17626,-665.709,-390.234,-1750.16,-1207.29
17627,-685.867,-328.501,-1799.56,-1275.27
17628,-761.166,-416.999,-1719,-1312.79
17629,-620.978,-378.142,-1763.71,-1230.01
17630,-738.936,-242.411,-1773.42,-1303.61
17631,-512.964,-407.591,-1747.63,-1177.76
17632,-746.944,-306.214,-1698.43,-1160.96
17633,-778.324,-248.976,-1776.68,-1268.47
17634,-594.388,-330.147,-1942.5,-1268.66
17635,-721.652,-320.658,-1794.68,-1311.15
17636,-781.011,-434.401,-1901.01,-1134.26
17637,-641.701,-275.468,-1961.46,-1175.43
17638,-860.614,-709.172,-1918.26,-1159.33
17639,-847.527,-654.266,-1903.4,-1214.46
17640,-1047.52,-705.968,-1636.11,-1184.95
17641,-892.361,-756.354,-1690.16,-1280.56
17642,-947.286,-727.446,-1906.23,-1229.01
17643,-777.824,-619.552,-1819.53,-1172.08
17644,-708.127,-447.294,-1870.44,-1103.45
17645,-735.759,-426.693,-1869.06,-1295.44
17646,-671.738,-380.145,-1891.96,-1146.67
17647,-485.027,-375.068,-1773.74,-1236.8
17648,-540.837,-392.297,-1925.94,-1308.46
17649,-603.983,-525.738,-1677.56,-1277.61
17650,-699.179,-466.028,-1864.73,-1134.58
17651,-655.518,-465.295,-1879.16,-1292.52
17652,-614.447,-413.68,-1902.19,-1161.46
17653,-470.661,-346.688,-1650.96,-1261.04
17654,-874.702,-570.929,-1769.43,-1224.7
17655,-893.485,-623.094,-1760,-1193.93
17656,-860.777,-715.058,-1783.94,-1360.46
17657,-817.087,-442.537,-1935.15,-1274.14
17658,-610.617,-393.479,-1942.59,-1181.48
17659,-627.266,-384.33,-1647.7,-1131.78
17660,-709.362,-572.431,-1783.19,-1209.67
17661,-709.313,-554.949,-1845.21,-1148.73
17662,-610.362,-571.648,-1632.68,-1286.78
17663,-839.021,-441.809,-1761.73,-1254.09
17664,-813.255,-152.337,-1817.21,-1218.36
17665,-672.905,-630.597,-1899.27,-1187.17
17666,-649.536,-608.109,-1894.9,-1082.49
17667,-603.069,-389.611,-1832,-1309.24
17668,-592.669,-542.58,-1821.7,-1230.88
17669,-578.044,-272.869,-1765.53,-1105.56
17670,-757.123,-271.288,-1824.35,-1174.41
17671,-733.32,-368.367,-1926.44,-1136.76
17672,-666.044,-405.207,-1745.57,-1309.08
17673,-553.551,-361.739,-1853.38,-1053.75
17674,-628.324,-516.724,-1852.94,-1145.03
17675,-663.667,-358.95,-1924.12,-1219.19
17676,-616.682,-313.718,-1903.16,-1326.19
17677,-796.782,-771.745,-1778.83,-1284.23
17678,-915.998,-619.054,-1782.07,-1131.29
17679,-902.065,-483.83,-1853.7,-1127.39
17680,-875.35,-529.81,-1857.09,-1263.09
17681,-695.509,-638.102,-1991.68,-1255.72
17682,-633.356,-248.775,-1877.01,-1327.5
17683,-787.29,-686.481,-1862.09,-1342.56
17684,-677.255,-647.811,-1764.49,-1287.45
17685,-896.933,-744.283,-1803.25,-1310.11
17686,-747.423,-684.215,-1877.02,-1337.03
17687,-877.124,-734.584,-1862.07,-1253.27
17688,-726.747,-724.666,-1845.56,-1207.12
17689,-735.56,-688.694,-1832.68,-1264.4
17690,-883.368,-681.026,-1785.52,-1059.22
17691,-993.821,-684.184,-1925.18,-1208.42
17692,-928.818,-652.532,-1612.8,-1209.95
17693,-741.722,-686.427,-1726.23,-1141.89
17694,-956.216,-735.414,-1807.48,-1258.93
17695,-863.586,-567.673,-1613.89,-1229.6
17696,-698.918,-500.327,-1833.42,-1101.5
17697,-857.39,-491.048,-1813.23,-1298.62
17698,-952.106,-499.039,-1993.99,-1213.45
17699,-801.849,-432.108,-1918.99,-1250.07
17700,-1148.49,-511.476,-1883.07,-1229.59
17701,-966.017,-541.557,-1706.29,-1132.92
17702,-887.091,-660.021,-1764.66,-1222.53
17703,-913.445,-704.506,-1824.79,-1232.35
17704,-577.017,-461.622,-1959.41,-1274.06
17705,-503.363,-470.97,-1939.86,-1288.22
17706,-830.637,-566.376,-1855.74,-1366.36
17707,-976.507,-610.609,-1681.59,-1301.52
17708,-948.42,-519.73,-1681.64,-1200.11
17709,-967.085,-654.655,-1660.71,-1272.28
17710,-834.935,-585.185,-1757.98,-1310.08
17711,-818.204,-584.631,-1838.26,-1276.08
17712,-828.046,-514.235,-1738.09,-1141.36
17713,-986.839,-751.029,-1693.8,-1132.89
17714,-973.584,-712.845,-1725.51,-1022.64
17715,-616.73,-471.735,-1761.02,-1219.88
17716,-679.266,-603.466,-1784.97,-1191.8
17717,-742.357,-381.049,-1800.11,-1221.78
17718,-823.513,-715.878,-1948.77,-1198.06
17719,-1050.16,-633.963,-1775.87,-1195.68
17720,-991.981,-674.057,-1746.65,-1150.36
17721,-885.666,-571.916,-1705.97,-1126.22
17722,-1063.24,-693.963,-1697.3,-1205.25
17723,-765.108,-677.334,-1767.31,-1149.02
17724,-1035.89,-649.56,-1722.35,-1052.68
17725,-1014.49,-629.01,-1786.45,-1151.15
17726,-950.51,-472.402,-1893.4,-1200.16
17727,-1059.8,-415.446,-1767.08,-1234.4
17728,-1089.56,-373.37,-1906.48,-1228.85
17729,-958.924,-612.31,-1710.65,-1268.48
17730,-656.885,-470.3,-1721.69,-1228.98
17731,-969.708,-643.344,-1751.61,-1379.57
17732,-890.289,-754.394,-1788.22,-1339.66
17733,-917.204,-742.142,-1616.93,-1269.05
17734,-777.169,-737.057,-1759.79,-1341.43
17735,-847.967,-703.32,-1957.37,-1221.72
17736,-734.837,-681.009,-1712.98,-1262.48
17737,-598.636,-597.994,-1745.94,-1139.49
17738,-735.542,-694.807,-1775.37,-1282.33
17739,-703.414,-492.514,-1717.43,-1256.26
17740,-643.445,-498.409,-1641.49,-1422.99
17741,-682.649,-508.009,-1631.45,-1117.92
17742,-714.755,-507.715,-1733.1,-1250.37
17743,-628.191,-451.003,-1821.5,-1282.59
17744,-657.071,-528.324,-1939.42,-1256.73
17745,-643.245,-281.173,-1931.93,-1245.99
17746,-513.202,-365.353,-1736.23,-1079.16
17747,-882.925,-740.599,-1804.38,-1206.26
17748,-858.26,-820.499,-1677.94,-1207.45
17749,-669.791,-218.346,-1808.12,-1220.88
17750,-730.555,-354.635,-1804.07,-1218.04
17751,-655.516,-505.098,-1832.99,-1184.42
17752,-495.802,-359.075,-1674.44,-1343.07
17753,-599.802,-328.469,-1739.78,-1248.01
17754,-374.414,-330.979,-1910.35,-1190.78
17755,-430.357,-379.166,-1966.06,-1152.14
17756,-526.454,-191.773,-1925.54,-1097.73
17757,-655.49,-386.513,-1762.73,-1075.28
17758,-648.845,-235.035,-1929.97,-1178.28
17759,-642,-368.15,-1770.2,-1176.6
17760,-637.358,-413.024,-1917.92,-1242.75
17761,-755.463,-516.233,-1636.59,-1308.68
17762,-680.538,-380.727,-1764.47,-1169.51
17763,-739.414,-292.426,-1999.7,-1065.61
17764,-661.946,-195.927,-1975.12,-1212.83
17765,-634.509,-204.844,-1940.72,-1326.25
17766,-797.563,-274.582,-1742.79,-1266.86
17767,-634.436,-208.099,-1794.57,-1143.03
17768,-771.235,-330.257,-1744.43,-1196.69
17769,-758.035,-452.817,-1773.79,-1185.62
