# ChronoModel 2.0.18
# pions.chr
# Date Format : BC/AD
iter;Noir Begin;Noir End;S4;S5;S6
11086;353,163773382754;561,719868940111;353,163773382754;419,181118143743;561,719868940111
11087;371,875026648901;541,902302824491;371,875026648901;416,836324009695;541,902302824491
11088;414,080078005954;568,880097952336;414,080078005954;414,575696395469;568,880097952336
11089;357,227654127194;608,553478287103;357,227654127194;373,938516973222;608,553478287103
11090;326,225454613874;611,648812139559;326,225454613874;366,03114365029;611,648812139559
11091;317,83587943595;657,839522946825;317,83587943595;372,958881740716;657,839522946825
11092;330,359369701473;617,97980608276;330,359369701473;362,017059977593;617,97980608276
11093;331,726144455294;632,184567711228;331,726144455294;427,379808916114;632,184567711228
11094;314,805742809671;631,869536340127;314,805742809671;405,306837350118;631,869536340127
11095;378,749836182274;658,120666642348;378,749836182274;379,966569244992;658,120666642348
11096;382,268509757018;630,614456295396;382,268509757018;392,589352510074;630,614456295396
11097;477,058056395958;603,064686432027;477,058056395958;544,728556843206;603,064686432027
11098;374,021124256606;618,178233529912;374,021124256606;444,453700785143;618,178233529912
11099;337,001053354453;647,667768945029;337,001053354453;523,625925752751;647,667768945029
11100;325,508423852076;665,655071165296;325,508423852076;502,428330656892;665,655071165296
11101;354,591622478751;472,995607455808;354,591622478751;420,427085721377;472,995607455808
11102;301,371781708303;557,502985647914;301,371781708303;383,689224071829;557,502985647914
11103;379,413923254392;660,622020966713;379,413923254392;417,522265387395;660,622020966713
11104;351,447401710338;658,457239347628;351,447401710338;460,877419040416;658,457239347628
11105;370,066061988342;627,710901754783;370,066061988342;455,465892164035;627,710901754783
11106;365,518251737929;623,501886299991;365,518251737929;405,172101967405;623,501886299991
11107;352,997536708122;585,899358035937;352,997536708122;457,988619985195;585,899358035937
11108;362,388295092586;653,950943232507;362,388295092586;549,373286615083;653,950943232507
11109;343,979136456551;571,603616822107;343,979136456551;432,089595967167;571,603616822107
11110;352,389691083057;517,383746294246;352,389691083057;427,509367857767;517,383746294246
11111;370,566527725515;689,868739140609;370,566527725515;409,829153159836;689,868739140609
11112;321,900096548995;591,605726168175;321,900096548995;443,657503774736;591,605726168175
11113;334,093972184983;644,181232517345;334,093972184983;411,155532184232;644,181232517345
11114;318,505087066676;628,737868759653;318,505087066676;397,843521923747;628,737868759653
11115;338,038061812375;630,380411331229;338,038061812375;390,147278647779;630,380411331229
11116;322,940388240359;658,88478937506;322,940388240359;398,071343378979;658,88478937506
11117;351,285293886617;634,758935356351;351,285293886617;442,542865800746;634,758935356351
11118;389,04062004262;533,886792282803;389,04062004262;504,219850734785;533,886792282803
11119;400,330803387895;583,281586592406;400,330803387895;458,151996806865;583,281586592406
11120;371,076272413694;579,670832339657;371,076272413694;458,09149049163;579,670832339657
11121;340,312014459688;638,744745445253;340,312014459688;407,000726797751;638,744745445253
11122;362,525544592582;619,61898065945;362,525544592582;417,089804372886;619,61898065945
11123;363,174345371883;683,282162267654;363,174345371883;406,743146382294;683,282162267654
11124;387,636702602596;631,101630453896;387,636702602596;433,518891656165;631,101630453896
11125;361,810983433928;615,137474685363;361,810983433928;429,6644835249;615,137474685363
11126;367,401908834862;410,716481833945;367,401908834862;377,434256286539;410,716481833945
11127;338,019114636095;615,690799924852;338,019114636095;502,777592643597;615,690799924852
11128;330,630503590052;586,025448499708;330,630503590052;415,001523412424;586,025448499708
11129;353,61986628125;546,013740375525;353,61986628125;431,92602348337;546,013740375525
11130;319,751579505468;633,032360322623;319,751579505468;437,016600928552;633,032360322623
11131;343,367398050688;617,785291881655;343,367398050688;384,816973110899;617,785291881655
11132;401,453706377877;620,896544559933;401,453706377877;437,064931790727;620,896544559933
11133;397,453375924657;595,945428586516;397,453375924657;435,069557316328;595,945428586516
11134;411,644021294224;644,841654546839;411,644021294224;431,767989203595;644,841654546839
11135;365,433530947964;585,235958794376;365,433530947964;429,950633664208;585,235958794376
11136;351,609324199507;536,590737908428;351,609324199507;423,119547077223;536,590737908428
11137;371,611637713039;578,957772492774;371,611637713039;414,144532634114;578,957772492774
11138;424,493081379659;667,63632730952;424,493081379659;441,788530665525;667,63632730952
11139;321,77236173871;638,07131903043;321,77236173871;406,267966519516;638,07131903043
11140;340,007615606073;648,708959604874;340,007615606073;432,40874855988;648,708959604874
11141;364,409824911724;623,711782873069;364,409824911724;431,191082779458;623,711782873069
11142;341,980168628536;622,622467091374;341,980168628536;395,356790835129;622,622467091374
11143;361,440185208035;449,444076669599;361,440185208035;447,946234936179;449,444076669599
11144;345,365903662571;624,197151893967;345,365903662571;357,601620473559;624,197151893967
11145;344,018350025033;644,384316700436;344,018350025033;412,938027271909;644,384316700436
11146;356,12848495273;561,865137207211;356,12848495273;403,455777805057;561,865137207211
11147;349,688745172469;559,093207036716;349,688745172469;468,727395803453;559,093207036716
11148;322,035421103902;597,375630582433;322,035421103902;405,21350717355;597,375630582433
11149;424,270334317235;607,930026567548;424,270334317235;434,07595214452;607,930026567548
11150;348,320741921677;601,47112818335;348,320741921677;417,191298971575;601,47112818335
11151;345,535494235935;606,733375064807;345,535494235935;397,861314446487;606,733375064807
11152;363,650848078338;637,178884380021;363,650848078338;382,924470935024;637,178884380021
11153;341,829194349284;641,626783505471;341,829194349284;432,213956768023;641,626783505471
11154;383,439964234119;626,27927057722;383,439964234119;420,91325971807;626,27927057722
11155;388,075357838998;609,690137278301;388,075357838998;482,246663373269;609,690137278301
11156;389,280112833983;683,228673658799;389,280112833983;394,130178345425;683,228673658799
11157;390,796787776251;610,235962214549;390,796787776251;407,078243831513;610,235962214549
11158;317,72286543288;650,125209543464;317,72286543288;385,176770174217;650,125209543464
11159;342,500406718273;621,157737124047;342,500406718273;360,933596955078;621,157737124047
11160;370,091498918512;630,125867794769;370,091498918512;394,30315005977;630,125867794769
11161;345,156840157378;544,771127621231;345,156840157378;448,232268957626;544,771127621231
11162;404,405612313656;594,600126999511;404,405612313656;461,363214110631;594,600126999511
11163;380,081427582411;491,362209514423;380,081427582411;410,078750489702;491,362209514423
11164;416,752334665612;646,008218053248;416,752334665612;431,971191340642;646,008218053248
11165;354,068665022016;640,75133866052;354,068665022016;405,869079927118;640,75133866052
