# ChronoModel 2.0.18
# pions.chr
# Date Format : BC/AD
iter;Blanc 2 Begin;Blanc 2 End;S7;S8;S9
11085;756,904171444015;962,7272778992;756,904171444015;763,372702039226;962,7272778992
11086;681,893788740199;856,673619061808;681,893788740199;779,978032323045;856,673619061808
11087;703,190408110012;804,590470489561;703,190408110012;775,637495667775;804,590470489561
11088;723,590410270103;872,115898652201;723,590410270103;780,911785617101;872,115898652201
11089;657,479336848662;911,460504705063;657,479336848662;756,295195329593;911,460504705063
11090;660,244295353633;882,418342104965;660,244295353633;729,059842195407;882,418342104965
11091;687,384936133837;995,251995925752;687,384936133837;810,219797119136;995,251995925752
11092;696,247330385081;903,168863845117;696,247330385081;865,230121219629;903,168863845117
11093;694,581463696138;959,076367088744;694,581463696138;873,629356954845;959,076367088744
11094;679,741161933648;847,197121090277;679,741161933648;817,942736197958;847,197121090277
11095;731,870057906963;919,935281340869;731,870057906963;826,13570460979;919,935281340869
11096;727,997445313625;874,9729191715;727,997445313625;813,003376545731;874,9729191715
11097;724,969059311815;912,970330108602;724,969059311815;808,547903499053;912,970330108602
11098;746,758072799032;938,687842857923;746,758072799032;901,341855636076;938,687842857923
11099;761,761063078418;861,325102339862;761,761063078418;856,116547295505;861,325102339862
11100;673,895233216518;927,492690107203;673,895233216518;763,188511641774;927,492690107203
11101;592,154786427963;922,756449263296;592,154786427963;812,99087091421;922,756449263296
11102;728,140990416925;905,643950928058;728,140990416925;789,000682333796;905,643950928058
11103;671,648677434113;947,33889017244;671,648677434113;895,039896921014;947,33889017244
11104;681,047252162032;822,016213266119;681,047252162032;808,099026392887;822,016213266119
11105;690,425236997068;888,545819352029;690,425236997068;720,78134123021;888,545819352029
11106;707,594974838693;903,859899276808;707,594974838693;713,37312662903;903,859899276808
11107;671,974705316447;874,710761467927;671,974705316447;777,216439568702;874,710761467927
11108;667,594604966769;955,242534321852;667,594604966769;887,656962122962;955,242534321852
11109;698,62986938085;932,149341455134;698,62986938085;820,641678219057;932,149341455134
11110;717,35470218732;895,702054484912;717,35470218732;778,936013391537;895,702054484912
11111;717,370185837083;841,016134136476;717,370185837083;826,043980589345;841,016134136476
11112;660,834827271946;854,097776007481;660,834827271946;801,962214268595;854,097776007481
11113;670,68343578207;923,147197889102;670,68343578207;892,023035654235;923,147197889102
11114;714,373940793595;962,439114244843;714,373940793595;904,214053378022;962,439114244843
11115;788,350109041246;882,201189852374;788,350109041246;841,213992525538;882,201189852374
11116;724,229925093984;859,705855894513;724,229925093984;848,666555842709;859,705855894513
11117;744,771804941241;901,755079860109;744,771804941241;831,687892601681;901,755079860109
11118;641,198095553419;930,443976780991;641,198095553419;814,365753095488;930,443976780991
11119;686,673906459421;861,045760696098;686,673906459421;787,435882684349;861,045760696098
11120;653,662019699342;931,453549949146;653,662019699342;845,477471431323;931,453549949146
11121;772,830960546041;874,516530322918;772,830960546041;843,434485981796;874,516530322918
11122;691,39064413372;896,333599029624;691,39064413372;697,643235382314;896,333599029624
11123;700,261796121741;979,80108793055;700,261796121741;792,688133509951;979,80108793055
11124;742,643538436175;836,807328430775;742,643538436175;796,245666524189;836,807328430775
11125;682,452555169651;950,537568962256;682,452555169651;777,249010375288;950,537568962256
11126;713,172975186032;903,852783692852;713,172975186032;810,792847856596;903,852783692852
11127;692,51344054094;924,491739757498;692,51344054094;838,507251767981;924,491739757498
11128;676,434213015381;876,540795845245;676,434213015381;838,191915313311;876,540795845245
11129;706,27915253743;837,350505000595;706,27915253743;773,451922010604;837,350505000595
11130;710,424427453259;879,916655647765;710,424427453259;795,991326687738;879,916655647765
11131;681,525730644465;841,749253826018;681,525730644465;825,02904947523;841,749253826018
11132;710,566083891249;857,235256285604;710,566083891249;808,577172333936;857,235256285604
11133;647,7767174065;808,240432571833;647,7767174065;758,870613995258;808,240432571833
11134;770,939636629708;980,41544171496;770,939636629708;882,229686711937;980,41544171496
11135;636,491575986044;877,395046094204;636,491575986044;848,718708103624;877,395046094204
11136;641,481581992643;965,88571728457;641,481581992643;876,408654849831;965,88571728457
11137;685,828548365921;887,078197472817;685,828548365921;865,036850990234;887,078197472817
11138;705,302711854816;965,111922469611;705,302711854816;858,967397286959;965,111922469611
11139;661,975266484203;874,401800391049;661,975266484203;735,359556624132;874,401800391049
11140;657,616658085944;855,532916327556;657,616658085944;818,463909440911;855,532916327556
11141;637,214079272251;852,442543419313;637,214079272251;776,843143354538;852,442543419313
11142;633,401272528643;893,729896747665;633,401272528643;718,711078951625;893,729896747665
11143;661,351963000957;958,542735395888;661,351963000957;849,795266045173;958,542735395888
11144;699,973599642938;896,643756113264;699,973599642938;826,932958773995;896,643756113264
11145;709,716370938454;966,888274859961;709,716370938454;836,251763065368;966,888274859961
11146;695,659649829811;886,180370482403;695,659649829811;837,517369422409;886,180370482403
11147;685,655643538074;960,714808828653;685,655643538074;853,20489677518;960,714808828653
11148;678,638217166376;963,683062218419;678,638217166376;789,995928066214;963,683062218419
11149;678,947671530533;883,02508100486;678,947671530533;771,925282211837;883,02508100486
11150;748,444845275371;925,264092190399;748,444845275371;810,793370635147;925,264092190399
11151;734,081192478769;937,495347234281;734,081192478769;829,954542937972;937,495347234281
11152;695,83899152502;962,77793115364;695,83899152502;824,979775816056;962,77793115364
11153;719,059331548251;878,674532183638;719,059331548251;810,319545106499;878,674532183638
11154;698,421512781158;803,887753866706;698,421512781158;757,156809465326;803,887753866706
11155;678,954854304615;899,52835140594;678,954854304615;865,067713338382;899,52835140594
11156;690,037240842809;856,801365146286;690,037240842809;780,963896177232;856,801365146286
11157;691,485788417746;867,850974899084;691,485788417746;792,213827020054;867,850974899084
11158;668,069430520689;885,411414162904;668,069430520689;825,036624514036;885,411414162904
11159;642,834293831043;865,498734888197;642,834293831043;780,497874046899;865,498734888197
11160;672,705015741653;814,235337331543;672,705015741653;785,760421670912;814,235337331543
11161;737,377111616165;908,409406312161;737,377111616165;836,23726041435;908,409406312161
11162;710,669400029835;884,008442340762;710,669400029835;821,042904516515;884,008442340762
11163;745,834088464933;888,399274732186;745,834088464933;803,945185446156;888,399274732186
11164;671,64182456909;894,009548459058;671,64182456909;778,101818518651;894,009548459058
11165;699,426551690649;929,279465609516;699,426551690649;773,109139790854;929,279465609516
11166;676,819397681396;895,725876182218;676,819397681396;834,066658919127;895,725876182218
11167;691,12622815682;846,81332898453;691,12622815682;795,306324546768;846,81332898453
11168;715,153767329948;947,516298514903;715,153767329948;798,488412685157;947,516298514903
11169;692,855885127;910,240205030603;692,855885127;867,760035208006;910,240205030603
11170;687,069323436057;888,696281129859;687,069323436057;826,822677884404;888,696281129859
11171;640,499737465154;906,753729757714;640,499737465154;805,813861158165;906,753729757714
11172;637,211210251611;918,204452402016;637,211210251611;837,793596388403;918,204452402016
11173;669,475887492251;933,320093175118;669,475887492251;863,001831546014;933,320093175118
11174;672,719107987657;866,878139842729;672,719107987657;824,816903567168;866,878139842729
11175;697,913637521857;868,112644574184;697,913637521857;812,675660172778;868,112644574184
11176;823,757576784542;907,831654619245;823,757576784542;864,628605127185;907,831654619245
11177;717,359965076968;869,505044934171;717,359965076968;862,155608276802;869,505044934171
11178;763,16372136144;989,059922500289;763,16372136144;782,440104263498;989,059922500289
11179;662,330167357971;892,002604578277;662,330167357971;780,837708531423;892,002604578277
11180;693,373909561461;878,275745464666;693,373909561461;851,997719523212;878,275745464666
11181;692,430415870966;870,459511419521;692,430415870966;747,611687895837;870,459511419521
11182;707,154715062516;902,973589500173;707,154715062516;759,894605522986;902,973589500173
11183;683,399634281842;891,72888185512;683,399634281842;804,895165225716;891,72888185512
11184;678,4241220447;998,068047650178;678,4241220447;835,075033816554;998,068047650178
11185;605,564208647706;905,143666950621;605,564208647706;790,545529692048;905,143666950621
11186;677,486938525862;912,534070520008;677,486938525862;808,478958173391;912,534070520008
11187;636,273425451653;912,384336250372;636,273425451653;817,808144316083;912,384336250372
11188;605,323131748144;890,041054932417;605,323131748144;819,063665398133;890,041054932417
11189;681,695826280019;934,963187770002;681,695826280019;798,015909226866;934,963187770002
11190;756,334680950881;941,888628406684;756,334680950881;898,949291772468;941,888628406684
11191;616,414771840905;876,717073711412;616,414771840905;796,088447416857;876,717073711412
11192;709,63189209652;899,056037500332;709,63189209652;788,595532249692;899,056037500332
11193;714,746351051279;860,389276096939;714,746351051279;825,054571199387;860,389276096939
11194;715,259392169008;915,092985777791;715,259392169008;804,434443881544;915,092985777791
11195;695,517034790146;951,395251552972;695,517034790146;846,708478766549;951,395251552972
11196;651,322386743067;859,179542347311;651,322386743067;841,67927311511;859,179542347311
11197;652,712695776076;865,396131107993;652,712695776076;822,65875405061;865,396131107993
11198;642,240039716374;841,120773633154;642,240039716374;777,495655926216;841,120773633154
11199;678,275787056508;853,895750559154;678,275787056508;828,641332026677;853,895750559154
11200;781,39492328393;951,996875399645;781,39492328393;828,858796034851;951,996875399645
11201;711,913468318603;867,04663978729;711,913468318603;777,994440752748;867,04663978729
11202;699,7479356067;920,619958764477;699,7479356067;739,614750327716;920,619958764477
11203;697,541113557674;909,860163697011;697,541113557674;875,475088832171;909,860163697011
11204;765,20205155963;902,895257771256;765,20205155963;841,053587671801;902,895257771256
11205;593,825443422165;926,182762334201;593,825443422165;913,04072628351;926,182762334201
11206;712,0174452902;898,214855139337;712,0174452902;890,665640211708;898,214855139337
11207;671,89663156014;895,878539913852;671,89663156014;845,773943251115;895,878539913852
11208;660,106236992359;851,50645741385;660,106236992359;802,557075363544;851,50645741385
11209;651,344193427829;899,677394053691;651,344193427829;807,55236462332;899,677394053691
11210;681,393146513767;957,212889036642;681,393146513767;768,486550027743;957,212889036642
11211;712,986509208266;936,840444089486;712,986509208266;801,462016022626;936,840444089486
11212;693,103177813862;923,843666316153;693,103177813862;817,837064729634;923,843666316153
11213;693,716492290272;921,961732272906;693,716492290272;817,242789883339;921,961732272906
11214;671,069246365323;893,027612527334;671,069246365323;876,045121478777;893,027612527334
11215;636,773142987906;921,73087273187;636,773142987906;775,142319139419;921,73087273187
11216;616,378946853583;891,426153491557;616,378946853583;846,695266279818;891,426153491557
11217;695,117108100517;927,118361934151;695,117108100517;821,986638218307;927,118361934151
11218;650,065781110603;938,201186012129;650,065781110603;833,907099598913;938,201186012129
11219;657,978037090654;949,81376840839;657,978037090654;762,250917879238;949,81376840839
11220;653,711505725099;916,836674799795;653,711505725099;827,252741752169;916,836674799795
11221;738,737537017837;939,749250111684;738,737537017837;855,969036432628;939,749250111684
11222;745,58513687752;865,72914139752;745,58513687752;831,386502492894;865,72914139752
11223;705,037851807898;906,275787352157;705,037851807898;781,89901286841;906,275787352157
11224;688,370104826044;867,172019769888;688,370104826044;830,967120616088;867,172019769888
11225;756,254518961876;915,528540354709;756,254518961876;862,954162474915;915,528540354709
11226;735,490914932149;943,016566559074;735,490914932149;760,369016851972;943,016566559074
11227;790,467634813527;898,898264413315;790,467634813527;851,507314624177;898,898264413315
11228;731,970468259787;944,084347007446;731,970468259787;828,125902312568;944,084347007446
11229;756,82625380197;874,6763803117;756,82625380197;870,145004520157;874,6763803117
11230;833,098226514592;938,102009726582;833,098226514592;864,25886094857;938,102009726582
11231;716,595937679441;925,17577827453;716,595937679441;825,531094209161;925,17577827453
11232;705,828960118394;956,123592586686;705,828960118394;837,223227755221;956,123592586686
11233;678,049881879052;956,484083550336;678,049881879052;798,267934215479;956,484083550336
11234;710,652881891808;915,245888510448;710,652881891808;771,626262394476;915,245888510448
11235;758,318443733098;914,807119244063;758,318443733098;900,19288603838;914,807119244063
11236;660,524435777614;924,97011602564;660,524435777614;786,370141197824;924,97011602564
11237;713,590776780059;866,153594428123;713,590776780059;811,695298319224;866,153594428123
11238;709,911929513595;902,49788563378;709,911929513595;815,035979110362;902,49788563378
11239;667,597929507411;897,638433879127;667,597929507411;803,827893714079;897,638433879127
11240;714,709958608657;938,141206202782;714,709958608657;907,777536373308;938,141206202782
11241;698,510140090713;989,616687954235;698,510140090713;832,845563637364;989,616687954235
11242;718,493792294814;930,940552501529;718,493792294814;830,396505704336;930,940552501529
11243;685,814427407104;851,669601478245;685,814427407104;761,924237658433;851,669601478245
11244;778,413176719759;909,390641476242;778,413176719759;830,336475122948;909,390641476242
11245;652,671990559089;835,40860571818;652,671990559089;816,740920794227;835,40860571818
11246;678,831894755999;893,476978418345;678,831894755999;832,51282449268;893,476978418345
11247;679,952175735685;869,034877226698;679,952175735685;838,442823958398;869,034877226698
11248;775,364785155023;978,321688949059;775,364785155023;799,836113367554;978,321688949059
11249;650,754465636216;891,742334477992;650,754465636216;883,877238820804;891,742334477992
11250;620,654366642782;937,12484568295;620,654366642782;851,237219409258;937,12484568295
11251;684,07510953686;875,672382901031;684,07510953686;866,501091744774;875,672382901031
11252;723,286391705841;894,742646137772;723,286391705841;815,125493698729;894,742646137772
11253;670,120353910321;870,504867639583;670,120353910321;838,770620023698;870,504867639583
11254;701,415982148298;925,520079591567;701,415982148298;873,935197037066;925,520079591567
11255;719,700571510042;908,199450181117;719,700571510042;852,642700594617;908,199450181117
11256;687,863434538691;898,867221420839;687,863434538691;823,254392971829;898,867221420839
11257;673,94563782508;902,004985471751;673,94563782508;861,936642128623;902,004985471751
11258;699,73456131504;963,688159688379;699,73456131504;878,875461980708;963,688159688379
11259;691,97374967638;956,690592881747;691,97374967638;810,388975483325;956,690592881747
11260;642,66509404814;917,364348477941;642,66509404814;908,501490839344;917,364348477941
11261;689,215199707433;969,08169015912;689,215199707433;952,587486207537;969,08169015912
11262;683,770699322431;983,073290317372;683,770699322431;859,338603407636;983,073290317372
11263;717,195385369198;951,278177923527;717,195385369198;808,294382914051;951,278177923527
11264;662,218660829771;900,166469885106;662,218660829771;756,545985243893;900,166469885106
11265;682,873187002472;990,096779367202;682,873187002472;855,631447733332;990,096779367202
11266;671,195062984707;878,334988322982;671,195062984707;797,829131555232;878,334988322982
11267;656,793298891538;989,882318222336;656,793298891538;899,425543728169;989,882318222336
11268;709,978458085894;920,379708460802;709,978458085894;801,400731995453;920,379708460802
11269;690,23357880216;930,020276621453;690,23357880216;829,06049178224;930,020276621453
11270;726,476689558635;885,838924570291;726,476689558635;840,725685221755;885,838924570291
11271;638,672397909328;879,376447947579;638,672397909328;810,878643178995;879,376447947579
11272;741,983951190776;915,522413645001;741,983951190776;835,816192051847;915,522413645001
11273;686,022110104167;878,409807771907;686,022110104167;814,546068736332;878,409807771907
11274;623,769262951065;918,919972557256;623,769262951065;826,026113106353;918,919972557256
11275;732,789942276535;897,042882916881;732,789942276535;869,390984980014;897,042882916881
11276;722,45312907757;905,303743723563;722,45312907757;821,99184740406;905,303743723563
11277;639,331969008336;956,151062210529;639,331969008336;768,321968623907;956,151062210529
11278;668,037802296518;921,547757500127;668,037802296518;896,360199790216;921,547757500127
11279;860,113013596235;941,295354278184;860,113013596235;905,863376334958;941,295354278184
11280;712,231454726064;882,249686869176;712,231454726064;793,752221279232;882,249686869176
11281;707,119242310835;844,84692694648;707,119242310835;753,806429652131;844,84692694648
11282;752,533354849648;859,026328836892;752,533354849648;846,800922795361;859,026328836892
11283;710,649876239446;940,249875161209;710,649876239446;814,835584971709;940,249875161209
11284;655,400449354509;955,13382230704;655,400449354509;793,795211591188;955,13382230704
11285;706,132992166657;904,487488952352;706,132992166657;789,675209461146;904,487488952352
11286;660,726711121868;884,123379186273;660,726711121868;861,406292074294;884,123379186273
11287;707,605176582277;879,050173428861;707,605176582277;716,933529717008;879,050173428861
11288;711,446440434587;905,981988211214;711,446440434587;795,504748901762;905,981988211214
11289;707,852946011382;904,994939017439;707,852946011382;822,402185586408;904,994939017439
11290;673,531727618883;874,109449553047;673,531727618883;807,460579595686;874,109449553047
11291;686,438025282404;962,941124151831;686,438025282404;856,069026526794;962,941124151831
11292;686,60202113264;864,51788791945;686,60202113264;845,237268554044;864,51788791945
11293;702,691089672284;907,906926224498;702,691089672284;797,194486294698;907,906926224498
11294;771,551667659768;897,498331218094;771,551667659768;830,889640039983;897,498331218094
11295;756,904775204032;904,764844191769;756,904775204032;833,286736525523;904,764844191769
11296;733,412326089847;930,338865025582;733,412326089847;806,071070997157;930,338865025582
11297;673,742550652893;872,877010512923;673,742550652893;788,573364827835;872,877010512923
11298;715,197964209121;882,820501904922;715,197964209121;775,075047032042;882,820501904922
11299;700,293896899112;959,50705636167;700,293896899112;788,169914585134;959,50705636167
11300;695,387423786065;876,037874828448;695,387423786065;740,777809947541;876,037874828448
11301;677,373753702993;930,891770089216;677,373753702993;836,721727996916;930,891770089216
11302;727,661471566111;902,235246986189;727,661471566111;820,862454851101;902,235246986189
11303;680,683958203514;871,039497016346;680,683958203514;844,501036632107;871,039497016346
11304;680,422227610372;989,289409427398;680,422227610372;813,222628280037;989,289409427398
11305;669,340655920283;870,163737974048;669,340655920283;743,955728645204;870,163737974048
11306;596,114561391061;909,701703112294;596,114561391061;773,179651882562;909,701703112294
11307;679,599894243249;938,489232607677;679,599894243249;852,89609012631;938,489232607677
11308;708,263888881262;881,598768112352;708,263888881262;873,44277144686;881,598768112352
11309;645,952799332217;923,680576987785;645,952799332217;798,536231305664;923,680576987785
11310;614,917379076899;895,302675089501;614,917379076899;854,657009353769;895,302675089501
11311;688,062414630511;923,370017922179;688,062414630511;767,877151974675;923,370017922179
11312;646,155990997265;869,743280510143;646,155990997265;799,089278211588;869,743280510143
11313;675,186228175595;901,022264861757;675,186228175595;838,126383432959;901,022264861757
11314;622,916506649773;909,296061605925;622,916506649773;848,530552165205;909,296061605925
11315;698,708690874343;914,79522764924;698,708690874343;752,3021566475;914,79522764924
11316;701,745656599372;935,437380385275;701,745656599372;798,677029828687;935,437380385275
11317;648,286273067255;938,2281543085;648,286273067255;832,504067011066;938,2281543085
11318;731,148558198973;902,280483087924;731,148558198973;813,534116147046;902,280483087924
11319;787,722600440973;905,925396982505;787,722600440973;863,721998619883;905,925396982505
11320;704,190610902333;995,140860590525;704,190610902333;860,580199636678;995,140860590525
11321;745,418273617094;944,559050235477;745,418273617094;841,212870956333;944,559050235477
11322;686,323592041708;909,918344680374;686,323592041708;898,247605220983;909,918344680374
11323;708,997639873824;885,380264425153;708,997639873824;784,715173779945;885,380264425153
11324;684,228916159915;873,199211670689;684,228916159915;770,997819478428;873,199211670689
11325;667,692233411998;966,072815433662;667,692233411998;808,196375504184;966,072815433662
11326;795,850860719929;910,308136789872;795,850860719929;896,739747857807;910,308136789872
